ze2010,libelle_ze,txcho_2003,txcho_2004,txcho_2005,txcho_2006,txcho_2007,txcho_2008,txcho_2009,txcho_2010,txcho_2011,txcho_2012,txcho_2013,densite,fronta,tx_act,tx_act_f,part_emp_pub,part_emp_ind,part_ouv,part_cad,part_act_1530,part_act_5064,part_act_peudip,part_act_tredip,tx_cre_eta,tx_act_intra,var_emp,tx_immig,f_bel,f_lux,f_all,f_su,part_etu
5305,Saint-Brieuc,6.4,6.6,6.8,6.9,6.2,5.8,7.3,7.4,7.5,8.1,8.8,109.25178044,0,72.727225119,70.118085645,35.347647838,16.175252609,26.368847521,10.377340343,21.077854886,26.09272162,17.228537708,29.566592767,32.044570745,82.770713894,101.99763294,3.3426206775,0,0,0,0,49.837486349
5306,Brest,7.1,7.5,7.5,7.6,7,6.4,7.8,8,7.8,8.4,8.9,193.26960961,0,71.446910969,68.374380022,33.532838328,13.470586952,21.587741367,14.979445179,23.705081828,23.28726505,13.034244334,36.060630245,34.064733606,87.855306974,100.5677057,3.203267485,0,0,0,0,56.064202453
5307,Carhaix-Plouguer,5.7,6.2,6.7,6.7,6.1,5.6,6.9,8,8.1,9.2,9.7,33.223061699,0,69.66041187,66.652369875,38.302851695,19.693161134,30.226842503,6.4364408081,19.568196956,28.940307096,19.487956687,24.986868669,25.434218407,73.88789393,96.567405931,5.2377138672,0,0,0,0,49.000179603
5308,Morlaix,7.3,7.8,7.7,7.9,7.5,6.9,8.1,8.5,8.6,9.1,9.5,75.214670804,0,72.559779712,69.814477829,36.380656651,15.859171652,24.916539465,9.8098794609,20.85945969,26.686154131,14.650280128,31.065776519,27.785315845,70.598777814,97.06759269,2.9854406084,0,0,0,0,50.467336641
5309,Quimper,7.1,7.5,7.5,7.6,6.9,6.4,7.7,7.8,7.8,8.6,9.2,113.24825073,0,71.775369968,69.257779096,36.354730034,17.947436295,25.545622241,11.372617002,18.655941409,26.839286034,15.0450271,31.532409295,32.792048716,85.144571476,102.39596264,2.7725060315,0,0,0,0,54.965333158
5310,Fougères,5.3,5.4,5.6,5.8,5.3,5,6.8,6.8,6.4,7,7.5,89.832405248,0,74.803130028,71.263400486,29.333143075,29.328386606,32.713141257,7.6752385747,22.395604619,24.203167752,22.05376644,24.054887252,23.576206834,72.202476882,94.768528906,2.2247571403,0,0,0,0,47.321531763
5311,Redon,7.5,7.2,7.5,7.4,6.9,6.3,8.3,7.9,7.7,8.8,9.4,83.85404157,0,72.068935247,69.669722462,30.187059184,27.316773996,34.111947583,9.1071897877,19.209064741,24.513401912,20.726030774,23.420768592,34.820183998,64.426249617,99.178459493,3.034388128,0,0,0,0,51.546304758
5312,Rennes,6.3,6.1,6.2,6.4,5.7,5.1,6.7,6.9,6.7,7.5,8,138.04423533,0,73.598652629,70.862816406,32.052982414,13.900477117,21.846311446,18.599512103,24.553725268,21.528311799,14.563382122,39.315969091,37.639414377,85.150633867,104.90102779,4.776039289,0,0,0,0,57.693277395
5313,Saint-Malo,8.3,8.3,8.2,8,7.3,6.6,8.5,8.6,8.2,9.3,9.5,197.25276823,0,71.566771459,68.973902529,33.924818351,11.280249805,24.56714629,11.521598541,22.368641668,26.094629587,19.580542127,28.038956019,37.266887692,74.708027591,102.34233339,2.4194258394,0,0,0,0,46.889471072
5314,Vitré,4.2,4.3,4.3,4.5,3.9,3.7,5.1,5,4.5,5.1,5.6,87.483559063,0,79.335024322,77.754614701,20.264383356,39.09168294,33.959756745,9.5481298124,23.706184592,21.723305201,18.137148166,27.207633128,26.997312485,65.370422229,110.25131977,2.4245414382,0,0,0,0,46.465477772
